Description,Message
Showing a new feature,"@Manish Kumar@Hitesh Shah @Shubh Garg @Suprith
Hi team, quick update on the camera capture:
I tested many approaches: react-native-camera-kit, react-native-vision-camera, expo-camera (what we had; overlay-friendly), the native camera, and some others. Native gave great quality but couldn’t support an overlay guide, and I had issues with the other options, so I came back to expo-camera and focused on improving it.
The two main issues I saw with expo-camera on my iPhone, and translated to sub-par image quality in the submitted samples from José (American Asphalt):
Focus only happened once and then stayed locked. I added a lightweight workaround that “nudges” autofocus on a loop (every ~2s) and also does a final settle just before capture. This makes the focus adapt as the user changes distance.
Default resolution was too low. I now query the device’s available picture sizes and pick the best one automatically. On iOS, that list can mix presets (Photo/High/Medium/Low) with numeric sizes; we now prefer the largest numeric WxH. On Android, we pick the highest megapixel size for 4:3.
Current behavior and user experience:
Preview looks crisp and the captured image is high quality.
We kept the overlay, and I added the copy to say the camera auto‑focuses every 2 seconds and to wait until the timecard is in focus before capturing.
I’ve tested on my iPhone and it’s working well. It’d be great if someone could try on a few Android devices (I don’t have one with me ATM).
I’ll show examples in the AI scrum today and open a PR today (branch name: feature/camera-improvements) into feature/Camera. Feel free to make changes, I tried to help, but I'm not by any means a mobile dev!
@Greg I also adjusted the overlay text to reflect the autofocus behavior and the “wait until in focus” instruction, feel free to comment on that. See attached image."
commenting on a PR from another team,"@Sanchit Sah @Shubh Garg Some comments on the PR:
We understand that the idea behind this PR is to add to our API the functionality needed to store an extracted timesheet (in Lumber format) to Lumber DB.
The issue with this is that the records of extracted timesheets shouldn't be saved to the DB after the extraction but after the verification process. As the verification process is detached and asynchronous from the extraction process (as discussed), these changed shouldn't be present in the timesheet_analyzer API.
We have finished the implementation of the verification service, that takes as input a process_uuid, fetches a document from the extracted data collection, allows to edit its contents and populates another collection with the verified data. This is done by a human, for v1 we (AI team) will be responsible for this.
We also added an endpoint that takes a process_uuid and fetches documents from the verified mongo DB collection, and outputs a JSON object in the agreed Lumber timesheet format, ready to be inserted into Lumber DB. This worked as a placeholder in the meantime while we didn't have access to Lumber DB API.
Now that you shared the details on how to call Lumber API to store data in the Lumber DB (in Lumber format), we can add this to the verification service, so when a user finishes verifying the data, it is automatically sent to Lumber DB. We can finish up this integration today.
But the way that this PR implements Lumber DB population is wrong because it is integrated in an incorrect place, it shouldn't be a part of the timesheet_analyzer API."
"Telling politely to a team lead from other team that one member from his team should make work assigned to me (we are 2 in my team, his team ~20 people)","Hi @Shubh Garg, I hope you are ending your day well. About the changes to the timesheet capture camera feature: Do you think that after @Ritik Jha is done testing with Android (for now good news, he says that the autofocus is improving the image sharpness also on Android devices), someone from your team could make the proposed changes in this PR (and any other changes that you require)?
https://github.com/Lumberfi/lumberfi-timesheet-app/pull/1275
As I pointed out in the Slack group, our idea was just to try to help improve the capture quality, I think it might be better if someone who owns the repo makes the last adjustments to ensure nothing is missing or that I'm not breaking anything."
Sharing improvements on a service to my boss and CTO,"@here I'm glad to say that we've wrapped up the improvements for the timesheet extractor we had in mind and pushed to develop deploy. Tomorrow will move to prod after conducting some additional testing.
Speed improvements:
Preprocessing Phase: From ~10s to ~6s per timesheet.
Extraction Phase: From ~80s to ~25s per timesheet.
Accuracy improvements:
Please refer to the table in the following image for details. For now, we have a minimal dataset of 14 timesheets submitted in production and verified, but the improvements are still remarkable; we went from a total of 121 needed corrections to 26 across the 14 examples. Notable enhancement in the ""false positives"" area (calling that way the cases where the LLM detects content and the field is empty).

EXTRACTION PROCESSES COMPARISON                        
METRIC        LEGACY EXTRACTION        NEW EXTRACTION        IMPROVEMENT
📋 DATASET OVERVIEW                        
Verified extractions        14        14        -
Total fields analyzed        2,352        2,352        -
🎯 ACCURACY METRICS                        
Overall accuracy        94.90%        98.90%        4.00%
Correct fields        2,231        2,326        95
❌ ERROR ANALYSIS                        
Extractions with corrections        13        1        -12
Extractions with false positives        13        0        -13
Total corrections needed        121        26        -95
Total false positives        94        0        -94
False positive rate        77.70%        0.00%        -77.70%
☑️ CHECKBOX ANALYSIS                        
Checkbox corrections        32        5        -27
Checkbox false positives        27        0        -27
Checkbox false positive rate        84.40%        0.00%        -84.40%
⚡ PERFORMANCE METRICS                        
Avg corrections per image        8.6        1.9        -6.8
Avg false positives per image        6.7        0        -6.7"
Sharing improvements on a service to my boss and CTO,"@Manish Kumar@Hitesh Shah Hi team! Just an update, we just pushed to develop an improvement to the extraction processing speed: previously we took around 80s per timesheet, now we are at ~25 seconds.
This is the extraction speed improvement I wrote about yesterday. We'll keep you posted about the accuracy improvements that we will implement next Monday/Tuesday.
Have a great weekend!"
Sharing state,"Hi team! @Manish Kumar @Hitesh Shah We just pushed an update for the preprocessing of the timesheet extractor to develop. Added testing and performance improvements to the preprocessing endpoint, now we are able to send the response in ~7.5 seconds. It should be less, maybe around 6 seconds in production (where we have more compute power available) but we haven't rolled it out to production yet, we need to finish testing to provide actual values.
Now, the focus is on improving extraction performance, including both speed and accuracy. ETA for the improvements we have in mind should be end of week/monday.
We are also working on the compliance chatbot. I will let @Federico Bogado provide an ETA.
Also, @Shubh Garg shared today the code sections where we could experiment and try to help the team to have both high quality images and an overlay (just as a reminder, Shubh told us that using the new framework allowed the app to send high quality images but that now implementing an overlay to guide to user at capture time - or a zoom out - seems impossible). (edited) "
Sharing state with boss,"Hi @Hitesh Shah! Happy Labor Day. FYI, today we met with @Greg and team, they wanted to know details about the face recognition process to start working on the UI design. I added @Shubh Garg to the call and he shared the current state of a feature that is being used to take profile pictures of workers, detecting when the quality of the capture is sufficient for face recognition. He will update us and the design team on whether it is feasible to add some feedback to the user, such us ""move closer, move further, stay still"", etc. I offered our help to Shubh in case he finds out that this is not trivial, because having high-quality images in the vector DB to match faces with is very important for the accuracy of the face detection system."
When my CTO asked why a cursor request to connect to the organization github reached him,"I was exploring Cursor's Background Agents feature, which should enable:

- Creating AI agents that can edit and run code asynchronously
- GitHub integration for automated bug fixing (Bugbot)
- Slack integration to interact with these agents directly from our workspace

I wanted to test this feature to evaluate if it could improve our development workflow. This could be an initial trial to estimate its potential value for our team.
We should be able to give access to only specific repositories inside the organization. If it's okay with you, I'd like to test it with these repos:

- timesheet_analyzer
- cba_rules_extractor
- docs_chatbot
- face-recognition

Thanks,
Franco"
GPT summary of my work in Plegados Franger,"I worked at my family’s metalworking company, Plegados Franger, which provides CNC sheet metal forming and cutting services. My responsibilities covered a wide range of technical and operational tasks, including operating folding machines, guillotines, and pantographs, bending and welding profiles, and preparing CAD/CAM routines for plasma cutting. I also designed technical drawings for clients, handled customer service, and eventually became Plant Manager, overseeing production and a team of about 10 employees."
Reporting Status to CEO (how is it going?),"@Shreesha Ramdas we were focusing on being demo ready on the facial recognition feature (demo was scheduled today 11:30 AM PST). The goal now is to be production ready by Monday.
Besides that, we met with @Rajendran Nair, and we are making progress on the union agent,  he provided us with very valuable inputs to work with; but we don't have something ready to show right now."
